order_id,customer_id,order_date,status,total_amount
5001,1001,2026-03-02,Delivered,12.5
5002,1002,2026-02-14,Delivered,10.5
5003,1002,2026-04-10,Delivered,19.98
5004,1004,2026-04-25,Delivered,21.0
5005,1003,2026-05-06,Shipped,22.5
5006,1005,2026-05-18,Delivered,16.0
5007,1001,2026-07-05,Delivered,54.0
5008,1006,2026-06-01,Delivered,18.0
5009,1008,2026-06-14,Cancelled,11.0
5010,1009,2026-06-29,Delivered,35.0
5011,1007,2026-07-02,Delivered,13.98
5012,1001,2026-07-19,Shipped,43.5
5013,1010,2026-07-25,Processing,29.0
5014,1004,2026-08-01,Delivered,15.5
5015,1003,2026-01-15,Delivered,12.5
5016,1009,2026-08-20,Shipped,25.0
5017,1005,2026-03-30,Delivered,14.0
5018,1006,2026-05-22,Delivered,39.0
5019,1001,2026-08-08,Processing,19.5
